                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.42241,                 0.2136,                 0.7947,                      1,                0.99948,                  0.995,                0.93079,                0.40046,                0.17323,                0.77732,               0.001387,               0.001387,               0.001387
                     90,                0.41795,                0.21181,                0.79267,                0.99998,                 0.9995,                  0.995,                0.93147,                0.40049,                0.17276,                0.77726,               0.001288,               0.001288,               0.001288
                     91,                 0.4079,                0.20379,                0.78493,                0.99997,                 0.9995,                  0.995,                0.93184,                0.40078,                0.17364,                0.77729,               0.001189,               0.001189,               0.001189
                     92,                0.40215,                0.20277,                0.78428,                0.99997,                 0.9995,                  0.995,                0.93129,                0.40077,                0.17382,                0.77732,                0.00109,                0.00109,                0.00109
                     93,                0.40045,                0.20043,                0.78607,                0.99997,                 0.9995,                  0.995,                0.93226,                0.40071,                0.17359,                0.77733,               0.000991,               0.000991,               0.000991
                     94,                0.40126,                0.19888,                0.78761,                0.99997,                 0.9995,                  0.995,                0.93149,                0.40031,                0.17386,                0.77722,               0.000892,               0.000892,               0.000892
                     95,                0.39791,                0.19515,                0.78394,                0.99997,                 0.9995,                  0.995,                 0.9318,                0.40024,                0.17312,                 0.7772,               0.000793,               0.000793,               0.000793
                     96,                0.39405,                0.19274,                0.78492,                0.99996,                 0.9995,                  0.995,                0.93225,                0.40033,                 0.1729,                0.77719,               0.000694,               0.000694,               0.000694
                     97,                0.39411,                0.19178,                0.78439,                0.99996,                 0.9995,                  0.995,                 0.9317,                0.40056,                0.17298,                0.77713,               0.000595,               0.000595,               0.000595
                     98,                0.39205,                0.19069,                 0.7845,                      1,                0.99996,                  0.995,                0.93126,                0.40087,                0.17307,                0.77715,               0.000496,               0.000496,               0.000496
                     99,                0.39018,                0.18858,                0.78375,                      1,                0.99996,                  0.995,                 0.9311,                0.40131,                0.17306,                 0.7772,               0.000397,               0.000397,               0.000397
                    100,                 0.3877,                0.18804,                 0.7816,                      1,                0.99997,                  0.995,                0.93087,                0.40147,                0.17278,                0.77722,               0.000298,               0.000298,               0.000298
